"info","info 2","info 3","info href","tooltip-info","tooltip-info href","team_name","team_name href","logo src","score","tooltip_item href 2","logo src 2","guest","btn-add-review href","show_predictions","show_movies","show_movies href","show_movies 2","show_movies 3","show_movies 4","connected_by","rank_user","rank_user href"
",  Group A","2022-08-08 19:00","İslami Dayanışma Oyunları 2022","https://women.volleybox.net/tr/women-islamic-solidarity-games-2022-o24533/matches","Karatay Congress and Sport Center, Konya","https://women.volleybox.net/tr/karatay-congress-and-sport-center-a3876/matches","Türkiye","https://women.volleybox.net/tr/turkey-t1231/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/uzbekistan-t1261/matches","https://volleybox.net/media/img/light-px.png","Özbekistan","https://women.volleybox.net/tr/turkey-uzbekistan-c125585","","","","","","","2 yıl önce önce  tarafından eklendi","B…2",""
",  Group A","2022-08-12 19:00","İslami Dayanışma Oyunları 2022","https://women.volleybox.net/tr/women-islamic-solidarity-games-2022-o24533/matches","Karatay Congress and Sport Center, Konya","https://women.volleybox.net/tr/karatay-congress-and-sport-center-a3876/matches","Türkiye","https://women.volleybox.net/tr/turkey-t1231/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/iran-t910/matches","https://volleybox.net/media/img/light-px.png","İran","https://women.volleybox.net/tr/turkey-iran-c125587","","","","","","","2 yıl önce önce  tarafından eklendi","B…2",""
",  semi-final","2022-08-14 19:00","İslami Dayanışma Oyunları 2022","https://women.volleybox.net/tr/women-islamic-solidarity-games-2022-o24533/matches","Karatay Congress and Sport Center, Konya","https://women.volleybox.net/tr/karatay-congress-and-sport-center-a3876/matches","Türkiye","https://women.volleybox.net/tr/turkey-t1231/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/cameroon-t739/matches","https://volleybox.net/media/img/light-px.png","Kamerun","https://women.volleybox.net/tr/turkey-cameroon-c125594","","","","","","","2 yıl önce önce  tarafından eklendi","B…2",""
",  final","2022-08-15 19:00","İslami Dayanışma Oyunları 2022","https://women.volleybox.net/tr/women-islamic-solidarity-games-2022-o24533/matches","Karatay Congress and Sport Center, Konya","https://women.volleybox.net/tr/karatay-congress-and-sport-center-a3876/matches","Türkiye","https://women.volleybox.net/tr/turkey-t1231/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/iran-t910/matches","https://volleybox.net/media/img/light-px.png","İran","https://women.volleybox.net/tr/turkey-iran-c125596","","","","1","","","2 yıl önce önce  tarafından eklendi","B…2",""
",","2022-08-20 18:00","dostluk maçı 2021/22","https://women.volleybox.net/tr/women-friendly-match-2021-22-o21986/matches","Sud de France Arena, Montpellier","https://women.volleybox.net/tr/sud-de-france-arena-a1302/matches","Fransa","https://women.volleybox.net/tr/france-t838/matches","https://volleybox.net/media/img/light-px.png","1 : 3","https://women.volleybox.net/tr/turkey-t1231/matches","https://volleybox.net/media/img/light-px.png","Türkiye","https://women.volleybox.net/tr/france-turkey-c130031","","","","1","","","2 yıl önce önce  tarafından eklendi","",""
",  1st round","2022-08-28 05:30","USA Volleyball Cup 2022","https://women.volleybox.net/tr/women-usa-volleyball-cup-2022-o25407/matches","Walter Pyramid, Long Beach","https://women.volleybox.net/tr/walter-pyramid-a435/matches","Amerika Birleşik Devletleri","https://women.volleybox.net/tr/usa-t1255/matches","https://volleybox.net/media/img/light-px.png","3 : 1","https://women.volleybox.net/tr/turkey-t1231/matches","https://volleybox.net/media/img/light-px.png","Türkiye","https://women.volleybox.net/tr/usa-turkey-c121952","","","","3","","","2 yıl önce önce  tarafından eklendi","",""
",  2nd round","2022-08-29 10:00","USA Volleyball Cup 2022","https://women.volleybox.net/tr/women-usa-volleyball-cup-2022-o25407/matches","Walter Pyramid, Long Beach","https://women.volleybox.net/tr/walter-pyramid-a435/matches","Amerika Birleşik Devletleri","https://women.volleybox.net/tr/usa-t1255/matches","https://volleybox.net/media/img/light-px.png","3 : 2","https://women.volleybox.net/tr/turkey-t1231/matches","https://volleybox.net/media/img/light-px.png","Türkiye","https://women.volleybox.net/tr/usa-turkey-c121953","","","","2","","","2 yıl önce önce  tarafından eklendi","",""
",  3rd round","2022-08-31 05:30","USA Volleyball Cup 2022","https://women.volleybox.net/tr/women-usa-volleyball-cup-2022-o25407/matches","LionTree Arena, San Diego","https://women.volleybox.net/tr/liontree-arena-a4685/matches","Amerika Birleşik Devletleri","https://women.volleybox.net/tr/usa-t1255/matches","https://volleybox.net/media/img/light-px.png","3 : 1","https://women.volleybox.net/tr/turkey-t1231/matches","https://volleybox.net/media/img/light-px.png","Türkiye","https://women.volleybox.net/tr/usa-turkey-c121954","","","","1","","","2 yıl önce önce  tarafından eklendi","",""
",  Group B","2022-09-24 14:00","Dünya Şampiyonası 2022","https://women.volleybox.net/tr/women-world-championships-2022-o21410/matches","GelreDome, Arnhem","https://women.volleybox.net/tr/gelredome-a2236/matches","Türkiye","https://women.volleybox.net/tr/turkey-t1231/matches","https://volleybox.net/media/img/light-px.png","2 : 3","https://women.volleybox.net/tr/thailand-t1213/matches","https://volleybox.net/media/img/light-px.png","Tayland","https://women.volleybox.net/tr/thailand-turkey-c111061","137","1","http://www.fivb.org/vis2009/getdocument.asmx?no=256540326","4","9","","3 yıl önce önce  tarafından eklendi","Adrian HS","https://women.volleybox.net/tr/user/AdrianHS"
",  Group B","2022-09-27 15:00","Dünya Şampiyonası 2022","https://women.volleybox.net/tr/women-world-championships-2022-o21410/matches","Ergo Arena, Gdańsk","https://women.volleybox.net/tr/ergo-arena-a314/matches","Türkiye","https://women.volleybox.net/tr/turkey-t1231/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/south-korea-t946/matches","https://volleybox.net/media/img/light-px.png","Güney Kore","https://women.volleybox.net/tr/turkey-south-korea-c113236","143","1","http://www.fivb.org/vis2009/getdocument.asmx?no=256540823","3","6","","3 yıl önce önce  tarafından eklendi","I…Y",""
",  Group B","2022-09-28 18:30","Dünya Şampiyonası 2022","https://women.volleybox.net/tr/women-world-championships-2022-o21410/matches","Ergo Arena, Gdańsk","https://women.volleybox.net/tr/ergo-arena-a314/matches","Türkiye","https://women.volleybox.net/tr/turkey-t1231/matches","https://volleybox.net/media/img/light-px.png","3 : 2","https://women.volleybox.net/tr/dominican-republic-t805/matches","https://volleybox.net/media/img/light-px.png","Dominik Cumhuriyeti","https://women.volleybox.net/tr/turkey-dominican-republic-c113240","140","1","http://www.fivb.org/vis2009/getdocument.asmx?no=256541278","3","1","6","3 yıl önce önce  tarafından eklendi","I…Y",""
",  Group B","2022-09-29 18:30","Dünya Şampiyonası 2022","https://women.volleybox.net/tr/women-world-championships-2022-o21410/matches","Ergo Arena, Gdańsk","https://women.volleybox.net/tr/ergo-arena-a314/matches","Türkiye","https://women.volleybox.net/tr/turkey-t1231/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/croatia-t784/matches","https://volleybox.net/media/img/light-px.png","Hırvatistan","https://women.volleybox.net/tr/turkey-croatia-c113242","142","1","http://www.fivb.org/vis2009/getdocument.asmx?no=256541638","3","4","","3 yıl önce önce  tarafından eklendi","I…Y",""
",  Group B","2022-10-01 21:30","Dünya Şampiyonası 2022","https://women.volleybox.net/tr/women-world-championships-2022-o21410/matches","Ergo Arena, Gdańsk","https://women.volleybox.net/tr/ergo-arena-a314/matches","Polonya","https://women.volleybox.net/tr/poland-t1114/matches","https://volleybox.net/media/img/light-px.png","2 : 3","https://women.volleybox.net/tr/turkey-t1231/matches","https://volleybox.net/media/img/light-px.png","Türkiye","https://women.volleybox.net/tr/poland-turkey-c113246","138","1","http://www.fivb.org/vis2009/getdocument.asmx?no=256542343","3","5","","3 yıl önce önce  tarafından eklendi","I…Y",""
",  Group F","2022-10-04 20:00","Dünya Şampiyonası 2022","https://women.volleybox.net/tr/women-world-championships-2022-o21410/matches","Atlas Arena, Łódź","https://women.volleybox.net/tr/atlas-arena-a327/matches","Türkiye","https://women.volleybox.net/tr/turkey-t1231/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/germany-t853/matches","https://volleybox.net/media/img/light-px.png","Almanya","https://women.volleybox.net/tr/turkey-germany-c132302","97","1","http://www.fivb.org/vis2009/getdocument.asmx?no=256542779","2","3","","2 yıl önce önce  tarafından eklendi","dfondatto","https://women.volleybox.net/tr/user/dfondatto"
",  Group F","2022-10-05 18:30","Dünya Şampiyonası 2022","https://women.volleybox.net/tr/women-world-championships-2022-o21410/matches","Łódź Sport Arena, Łódź","https://women.volleybox.net/tr/lodz-sport-arena-a1280/matches","Türkiye","https://women.volleybox.net/tr/turkey-t1231/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/canada-t742/matches","https://volleybox.net/media/img/light-px.png","Kanada","https://women.volleybox.net/tr/turkey-canada-c132548","96","1","http://www.fivb.org/vis2009/getdocument.asmx?no=256543081","2","3","","2 yıl önce önce  tarafından eklendi","dfondatto","https://women.volleybox.net/tr/user/dfondatto"
",  Group F","2022-10-07 18:30","Dünya Şampiyonası 2022","https://women.volleybox.net/tr/women-world-championships-2022-o21410/matches","Łódź Sport Arena, Łódź","https://women.volleybox.net/tr/lodz-sport-arena-a1280/matches","Amerika Birleşik Devletleri","https://women.volleybox.net/tr/usa-t1255/matches","https://volleybox.net/media/img/light-px.png","3 : 1","https://women.volleybox.net/tr/turkey-t1231/matches","https://volleybox.net/media/img/light-px.png","Türkiye","https://women.volleybox.net/tr/usa-turkey-c132546","107","1","http://www.fivb.org/vis2009/getdocument.asmx?no=256543642","3","4","","2 yıl önce önce  tarafından eklendi","dfondatto","https://women.volleybox.net/tr/user/dfondatto"
",  Group F","2022-10-08 18:30","Dünya Şampiyonası 2022","https://women.volleybox.net/tr/women-world-championships-2022-o21410/matches","Łódź Sport Arena, Łódź","https://women.volleybox.net/tr/lodz-sport-arena-a1280/matches","Sırbistan","https://women.volleybox.net/tr/serbia-t1159/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/turkey-t1231/matches","https://volleybox.net/media/img/light-px.png","Türkiye","https://women.volleybox.net/tr/serbia-turkey-c132543","112","1","http://www.fivb.org/vis2009/getdocument.asmx?no=256543767","2","5","","2 yıl önce önce  tarafından eklendi","dfondatto","https://women.volleybox.net/tr/user/dfondatto"
",  quarterfinal","2022-10-11 18:30","Dünya Şampiyonası 2022","https://women.volleybox.net/tr/women-world-championships-2022-o21410/matches","Arena Gliwice, Gliwice","https://women.volleybox.net/tr/arena-gliwice-a1196/matches","Amerika Birleşik Devletleri","https://women.volleybox.net/tr/usa-t1255/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/turkey-t1231/matches","https://volleybox.net/media/img/light-px.png","Türkiye","https://women.volleybox.net/tr/usa-turkey-c133047","105","1","http://www.fivb.org/vis2009/getdocument.asmx?no=256544170","3","8","","2 yıl önce önce  tarafından eklendi","",""
