"info","info 2","info 3","info href","tooltip-info","tooltip-info href","team_name","team_name href","logo src","score","tooltip_item href 2","logo src 2","guest","btn-add-review href","connected_by","rank_user","show_movies"
",  Group A","2019-08-09 16:30","Pan Amerikan Oyunları 2019","https://women.volleybox.net/tr/women-pan-american-games-2019-o5647/matches","Polideportivo del Callao, Callao","https://women.volleybox.net/tr/polideportivo-del-callao-a1625/matches","Kolombiya","https://women.volleybox.net/tr/colombia-t763/matches","https://volleybox.net/media/img/light-px.png","3 : 1","https://women.volleybox.net/tr/canada-t742/matches","https://volleybox.net/media/img/light-px.png","Kanada","https://women.volleybox.net/tr/colombia-canada-c17474","5 yıl önce önce  tarafından eklendi","",""
",  7th place match","2019-08-10 16:00","Pan Amerikan Oyunları 2019","https://women.volleybox.net/tr/women-pan-american-games-2019-o5647/matches","Polideportivo del Callao, Callao","https://women.volleybox.net/tr/polideportivo-del-callao-a1625/matches","Kanada","https://women.volleybox.net/tr/canada-t742/matches","https://volleybox.net/media/img/light-px.png","0 : 3","https://women.volleybox.net/tr/usa-t1255/matches","https://volleybox.net/media/img/light-px.png","Amerika Birleşik Devletleri","https://women.volleybox.net/tr/canada-usa-c18577","5 yıl önce önce  tarafından eklendi","Anderson Antunes","1"
",  Round Robin","2019-08-22 06:00","NORCECA Champions Cup 2019","https://women.volleybox.net/tr/women-norceca-champions-cup-2019-o31127/matches","Colorado Springs OTC, Colorado Springs","https://women.volleybox.net/tr/colorado-springs-otc-a901/matches","Amerika Birleşik Devletleri","https://women.volleybox.net/tr/usa-t1255/matches","https://volleybox.net/media/img/light-px.png","3 : 1","https://women.volleybox.net/tr/canada-t742/matches","https://volleybox.net/media/img/light-px.png","Kanada","https://women.volleybox.net/tr/usa-canada-c254626","8 ay önce önce  tarafından eklendi","",""
",  Round Robin","2019-08-23 06:00","NORCECA Champions Cup 2019","https://women.volleybox.net/tr/women-norceca-champions-cup-2019-o31127/matches","Colorado Springs OTC, Colorado Springs","https://women.volleybox.net/tr/colorado-springs-otc-a901/matches","Kanada","https://women.volleybox.net/tr/canada-t742/matches","https://volleybox.net/media/img/light-px.png","1 : 3","https://women.volleybox.net/tr/dominican-republic-t805/matches","https://volleybox.net/media/img/light-px.png","Dominik Cumhuriyeti","https://women.volleybox.net/tr/canada-dominican-republic-c254628","8 ay önce önce  tarafından eklendi","",""
",  Round Robin","2019-08-24 06:00","NORCECA Champions Cup 2019","https://women.volleybox.net/tr/women-norceca-champions-cup-2019-o31127/matches","Colorado Springs OTC, Colorado Springs","https://women.volleybox.net/tr/colorado-springs-otc-a901/matches","Porto Riko","https://women.volleybox.net/tr/puerto-rico-t1120/matches","https://volleybox.net/media/img/light-px.png","1 : 3","https://women.volleybox.net/tr/canada-t742/matches","https://volleybox.net/media/img/light-px.png","Kanada","https://women.volleybox.net/tr/puerto-rico-canada-c254630","8 ay önce önce  tarafından eklendi","",""
",  Group A","2019-10-09 01:10","NORCECA Şampiyonası 2019","https://women.volleybox.net/tr/women-norceca-championships-2019-o8957/matches","Roberto Clemente Coliseum, San Juan","https://women.volleybox.net/tr/roberto-clemente-coliseum-a353/matches","Kanada","https://women.volleybox.net/tr/canada-t742/matches","https://volleybox.net/media/img/light-px.png","3 : 1","https://women.volleybox.net/tr/cuba-t787/matches","https://volleybox.net/media/img/light-px.png","Küba","https://women.volleybox.net/tr/canada-cuba-c20985","5 yıl önce önce  tarafından eklendi","S…k",""
",  Group A","2019-10-09 21:00","NORCECA Şampiyonası 2019","https://women.volleybox.net/tr/women-norceca-championships-2019-o8957/matches","Roberto Clemente Coliseum, San Juan","https://women.volleybox.net/tr/roberto-clemente-coliseum-a353/matches","Kanada","https://women.volleybox.net/tr/canada-t742/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/costa-rica-t778/matches","https://volleybox.net/media/img/light-px.png","Kosta Rika","https://women.volleybox.net/tr/canada-costa-rica-c20987","5 yıl önce önce  tarafından eklendi","S…k",""
",  Group A","2019-10-11 03:15","NORCECA Şampiyonası 2019","https://women.volleybox.net/tr/women-norceca-championships-2019-o8957/matches","Roberto Clemente Coliseum, San Juan","https://women.volleybox.net/tr/roberto-clemente-coliseum-a353/matches","Porto Riko","https://women.volleybox.net/tr/puerto-rico-t1120/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/canada-t742/matches","https://volleybox.net/media/img/light-px.png","Kanada","https://women.volleybox.net/tr/puerto-rico-canada-c20990","5 yıl önce önce  tarafından eklendi","S…k",""
",  quarterfinal","2019-10-12 03:15","NORCECA Şampiyonası 2019","https://women.volleybox.net/tr/women-norceca-championships-2019-o8957/matches","Roberto Clemente Coliseum, San Juan","https://women.volleybox.net/tr/roberto-clemente-coliseum-a353/matches","Kanada","https://women.volleybox.net/tr/canada-t742/matches","https://volleybox.net/media/img/light-px.png","3 : 1","https://women.volleybox.net/tr/mexico-t1018/matches","https://volleybox.net/media/img/light-px.png","Meksika","https://women.volleybox.net/tr/canada-mexico-c21338","5 yıl önce önce  tarafından eklendi","S…k",""
",  semi-final","2019-10-13 01:10","NORCECA Şampiyonası 2019","https://women.volleybox.net/tr/women-norceca-championships-2019-o8957/matches","Roberto Clemente Coliseum, San Juan","https://women.volleybox.net/tr/roberto-clemente-coliseum-a353/matches","Amerika Birleşik Devletleri","https://women.volleybox.net/tr/usa-t1255/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/canada-t742/matches","https://volleybox.net/media/img/light-px.png","Kanada","https://women.volleybox.net/tr/usa-canada-c21519","5 yıl önce önce  tarafından eklendi","S…k",""
",  3rd place match","2019-10-13 22:00","NORCECA Şampiyonası 2019","https://women.volleybox.net/tr/women-norceca-championships-2019-o8957/matches","Roberto Clemente Coliseum, San Juan","https://women.volleybox.net/tr/roberto-clemente-coliseum-a353/matches","Porto Riko","https://women.volleybox.net/tr/puerto-rico-t1120/matches","https://volleybox.net/media/img/light-px.png","0 : 3","https://women.volleybox.net/tr/canada-t742/matches","https://volleybox.net/media/img/light-px.png","Kanada","https://women.volleybox.net/tr/puerto-rico-canada-c21630","5 yıl önce önce  tarafından eklendi","S…k",""
",  2nd round","2019-10-18 05:00","Dünya Askeri Şampiyonası 2019","https://women.volleybox.net/tr/women-world-military-championship-2019-o9077/matches","Jianghan University Gymnasium, Wuhan","https://women.volleybox.net/tr/jianghan-university-gymnasium-a4752/matches","Brezilya","https://women.volleybox.net/tr/brazil-t724/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/canada-t742/matches","https://volleybox.net/media/img/light-px.png","Kanada","https://women.volleybox.net/tr/brazil-canada-c123914","2 yıl önce önce  tarafından eklendi","","1"
