Date,Team1,Team2,Score,MatchResult,Score1,Score2,Team1_last5_win_rate,Team1_last5_avg_score,Team1_last5_avg_concede,MatchResult2,Team2_last5_win_rate,Team2_last5_avg_score,Team2_last5_avg_concede,h2h_team1_win_rate
2021-06-18 17:00:00,Çin,Rusya,3:0,1,3,0,0.6,2.4,1.6,0,0.4,1.6,2.6,0.7272727272727273
2021-06-18 19:00:00,Polonya,Amerika Birleşik Devletleri,0:3,2,0,3,0.2,1.4,2.6,1,1.0,3.0,0.2,0.0
2021-06-18 20:30:00,Kanada,İtalya,0:3,2,0,3,0.2,1.4,2.6,1,0.2,1.0,2.4,0.0
2021-06-18 22:00:00,Türkiye,Hollanda,3:0,1,3,0,0.8,2.6,1.2,0,0.8,2.4,1.4,0.5
2021-06-19 11:00:00,Dominik Cumhuriyeti,Sırbistan,3:0,1,3,0,0.4,1.8,2.0,0,0.0,0.8,3.0,0.16666666666666666
2021-06-19 13:00:00,Amerika Birleşik Devletleri,Rusya,3:1,1,3,1,1.0,3.0,0.2,0,0.2,1.0,2.8,0.9230769230769231
2021-06-19 14:00:00,Japonya,Almanya,3:1,1,3,1,0.8,2.4,1.6,0,0.4,1.8,2.4,1.0
2021-06-19 16:00:00,Tayland,Kanada,3:0,1,3,0,0.2,0.8,2.6,0,0.4,1.6,2.2,0.0
2021-06-19 17:00:00,İspanya,Hırvatistan,1:3,2,1,3,0.0,0.0,3.0,1,0.6,2.0,2.0,0.0
2021-06-19 17:00:00,Çin,Polonya,3:0,1,3,0,0.8,2.6,1.0,0,0.4,2.0,2.2,0.6666666666666666
2021-06-19 19:00:00,Güney Kore,Türkiye,1:3,2,1,3,0.4,1.2,2.4,1,0.6,2.2,1.8,0.0
2021-06-19 20:00:00,Çek Cumhuriyeti,Bulgaristan,0:3,2,0,3,0.6,2.2,1.6,1,0.4,1.6,1.8,0.6666666666666666
2021-06-19 20:30:00,Brezilya,Hollanda,3:0,1,3,0,1.0,3.0,0.2,0,0.6,1.8,2.0,0.8888888888888888
2021-06-19 22:00:00,Belçika,İtalya,3:2,1,3,2,0.6,2.0,2.4,0,0.4,1.6,1.8,0.1
2021-06-20 11:00:00,Dominik Cumhuriyeti,Almanya,3:2,1,3,2,0.6,2.4,1.4,0,0.2,1.4,2.8,0.2
2021-06-20 13:00:00,Çin,Amerika Birleşik Devletleri,3:0,1,3,0,1.0,3.0,0.4,0,1.0,3.0,0.2,0.3888888888888889
2021-06-20 14:00:00,Tayland,İtalya,1:3,2,1,3,0.4,1.4,2.0,1,0.4,1.8,1.8,0.25
2021-06-20 16:00:00,Japonya,Sırbistan,3:0,1,3,0,0.8,2.4,1.8,0,0.0,0.4,3.0,0.5
2021-06-20 17:00:00,Rusya,Polonya,2:3,2,2,3,1.0,3.0,0.2,1,0.4,1.6,2.2,0.0
2021-06-20 17:00:00,İspanya,Çek Cumhuriyeti,3:2,1,3,2,0.0,0.25,3.0,0,0.8,2.8,0.8,0.0
2021-06-20 19:00:00,Güney Kore,Hollanda,2:3,2,2,3,0.4,1.4,2.4,1,0.4,1.2,2.2,0.2
2021-06-20 20:00:00,Hırvatistan,Bulgaristan,1:3,2,1,3,0.4,2.2,1.8,1,0.6,2.2,1.2,0.3333333333333333
2021-06-20 20:30:00,Belçika,Kanada,3:0,1,3,0,0.6,2.0,2.4,0,0.4,1.6,2.2,
2021-06-20 22:00:00,Brezilya,Türkiye,3:1,1,3,1,1.0,3.0,0.2,0,0.6,2.2,1.8,0.5555555555555556
2021-06-24 17:00:00,Brezilya,Japonya,3:1,1,3,1,1.0,3.0,0.4,0,0.6,1.8,1.8,0.8
2021-06-24 20:30:00,Amerika Birleşik Devletleri,Türkiye,3:0,1,3,0,1.0,3.0,0.4,0,0.4,1.8,2.0,0.75
2021-06-25 17:00:00,Japonya,Türkiye,0:3,2,0,3,1.0,3.0,1.2,1,0.2,1.2,2.6,0.5
2021-06-25 20:30:00,Brezilya,Amerika Birleşik Devletleri,1:3,2,1,3,1.0,3.0,0.4,1,0.8,2.4,0.8,0.35294117647058826
2021-07-25 03:00:00,Rusya,İtalya,0:3,2,0,3,0.8,2.8,0.8,1,0.4,1.8,2.0,0.625
2021-07-25 05:05:00,Amerika Birleşik Devletleri,Arjantin,3:0,1,3,0,1.0,3.0,0.4,0,0.2,0.6,2.8,0.8571428571428571
2021-07-25 08:20:00,Sırbistan,Dominik Cumhuriyeti,3:0,1,3,0,0.8,2.4,1.2,0,0.8,2.8,1.2,0.7142857142857143
2021-07-25 10:25:00,Çin,Türkiye,0:3,2,0,3,1.0,3.0,0.0,1,0.4,1.6,2.0,0.6
2021-07-25 13:40:00,Japonya,Kenya,3:0,1,3,0,0.8,2.4,1.4,0,0.8,2.4,1.2,1.0
2021-07-25 15:45:00,Brezilya,Güney Kore,3:0,1,3,0,0.8,2.6,1.0,0,0.0,0.6,3.0,0.8333333333333334
2021-07-27 03:00:00,Rusya,Arjantin,3:0,1,3,0,0.6,2.2,1.2,0,0.2,0.6,2.8,1.0
2021-07-27 05:05:00,Çin,Amerika Birleşik Devletleri,0:3,2,0,3,0.8,2.4,0.6,1,0.8,2.4,1.0,0.42105263157894735
2021-07-27 08:40:00,Japonya,Sırbistan,0:3,2,0,3,0.8,2.4,1.2,1,0.0,0.2,3.0,0.5454545454545454
2021-07-27 10:25:00,İtalya,Türkiye,3:1,1,3,1,0.2,2.0,2.6,0,0.6,2.0,1.4,0.5
2021-07-27 13:40:00,Brezilya,Dominik Cumhuriyeti,3:2,1,3,2,0.8,2.6,1.0,0,0.6,2.2,1.6,0.7142857142857143
2021-07-27 15:45:00,Güney Kore,Kenya,3:0,1,3,0,0.4,1.8,2.4,0,0.8,2.4,1.2,1.0
2021-07-29 03:00:00,İtalya,Arjantin,3:0,1,3,0,0.4,2.2,2.2,0,0.0,0.0,3.0,1.0
2021-07-29 05:05:00,Güney Kore,Dominik Cumhuriyeti,3:2,1,3,2,0.4,1.8,2.2,0,0.4,2.0,2.0,0.3333333333333333
2021-07-29 08:20:00,Sırbistan,Kenya,3:0,1,3,0,0.8,2.4,1.0,0,0.6,1.8,1.6,1.0
2021-07-29 10:25:00,Çin,Rusya,2:3,2,2,3,0.6,1.8,1.2,1,0.2,1.2,2.8,0.75
2021-07-29 13:40:00,Japonya,Brezilya,0:3,2,0,3,0.6,1.8,1.4,1,0.8,2.8,0.8,0.18181818181818182
2021-07-29 15:45:00,Amerika Birleşik Devletleri,Türkiye,3:2,1,3,2,1.0,3.0,0.4,0,0.4,1.6,1.8,0.7692307692307693
2021-07-31 03:00:00,Dominik Cumhuriyeti,Kenya,3:0,1,3,0,0.6,2.4,1.8,0,0.4,1.2,2.2,1.0
2021-07-31 05:05:00,Amerika Birleşik Devletleri,Rusya,0:3,2,0,3,1.0,3.0,0.8,1,0.4,1.8,2.6,0.9285714285714286
2021-07-31 08:20:00,Arjantin,Türkiye,0:3,2,0,3,0.8,2.6,0.8,1,0.4,1.8,1.8,0.0
2021-07-31 10:25:00,Sırbistan,Brezilya,1:3,2,1,3,0.8,2.4,0.8,1,0.8,2.8,0.8,0.2727272727272727
2021-07-31 13:40:00,Japonya,Güney Kore,2:3,2,2,3,0.4,1.2,1.8,1,0.0,0.6,3.0,0.5
2021-07-31 15:45:00,Çin,İtalya,3:0,1,3,0,0.4,1.6,1.8,0,0.6,2.2,1.4,0.5
2021-08-02 03:00:00,Sırbistan,Güney Kore,3:0,1,3,0,0.6,2.0,1.2,0,0.2,0.8,2.8,0.6
2021-08-02 05:05:00,Amerika Birleşik Devletleri,İtalya,3:2,1,3,2,0.8,2.4,1.2,0,0.6,2.2,1.4,0.5833333333333334
